WL (nm),irradiance
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0.006537
432,0.041385
433,0.114788
434,0.207909
435,0.331033
436,0.4699
437,0.657044
438,0.886153
439,1.16182
440,1.471621
441,1.819803
442,2.217952
443,2.705786
444,3.287025
445,3.973461
446,4.725863
447,5.583807
448,6.584635
449,7.725487
450,9.025605
451,10.341047
452,12.043224
453,13.962392
454,16.19252
455,18.637728
456,21.464087
457,24.727947
458,28.455383
459,32.750893
460,37.773457
461,43.703125
462,49.703934
463,56.96983
464,64.753563
465,72.818596
466,81.314308
467,88.789566
468,94.999474
469,98.999794
470,100.531616
471,99.774841
472,95.833008
473,89.968002
474,82.463516
475,74.462952
476,66.426178
477,58.755886
478,51.996986
479,46.137447
480,42.080795
481,38.471752
482,35.65546
483,33.406414
484,31.366362
485,29.463266
486,27.566578
487,25.917957
488,23.981251
489,22.016575
490,20.025387
491,18.146603
492,16.41563
493,14.88473
494,13.709763
495,12.609646
496,11.773614
497,11.187563
498,10.82126
499,10.654581
500,10.652493
501,10.82484
502,11.151404
503,11.590593
504,12.160595
505,12.877324
506,13.693243
507,14.79886
508,16.114307
509,17.671486
510,19.502111
511,21.417866
512,23.855127
513,26.629744
514,29.803829
515,33.325607
516,36.831196
517,41.02795
518,45.44001
519,49.933247
520,54.435543
521,58.915775
522,63.359657
523,67.136139
524,70.859932
525,74.079681
526,76.803329
527,78.793999
528,79.868546
529,80.112144
530,79.447647
531,78.388046
532,76.434181
533,74.061409
534,71.110435
535,67.781006
536,64.661362
537,61.060783
538,57.532635
539,54.091698
540,50.767513
541,47.993301
542,45.008007
543,42.231087
544,39.691601
545,37.409904
546,35.572083
547,33.624496
548,31.727798
549,29.914642
550,28.140848
551,26.644184
552,25.019356
553,23.426298
554,22.101482
555,20.628119
556,19.20738
557,17.857391
558,16.564217
559,15.50846
560,14.358674
561,13.280131
562,12.358795
563,11.421073
564,10.559486
565,9.797702
566,9.097883
567,8.50383
568,7.920636
569,7.358573
570,6.908957
571,6.457684
572,6.014849
573,5.622492
574,5.263772
575,4.961913
576,4.66479
577,4.382616
578,4.156665
579,3.921905
580,3.699225
581,3.491476
582,3.299605
583,3.149498
584,2.988784
585,2.855199
586,2.767849
587,2.722464
588,2.715681
589,2.75377
590,2.824604
591,2.966897
592,3.187372
593,3.513268
594,3.905322
595,4.458532
596,5.145626
597,5.860521
598,6.780274
599,7.813625
600,8.971849
601,10.258711
602,11.541696
603,13.168666
604,14.98393
605,16.816626
606,19.118347
607,21.704971
608,24.351803
609,27.699793
610,31.514463
611,35.328602
612,40.179111
613,45.714176
614,52.154514
615,59.49025
616,66.748543
617,75.679276
618,85.266068
619,94.311943
620,104.866226
621,115.714127
622,125.911194
623,138.38736
624,152.74382
625,167.835602
626,187.814056
627,209.931183
628,230.502121
629,249.182571
630,258.696167
631,257.194641
632,242.982391
633,221.179047
634,188.33931
635,151.900482
636,122.103645
637,94.313629
638,72.740852
639,58.322338
640,46.03257
641,36.612984
642,30.070597
643,24.137644
644,19.337875
645,15.827942
646,12.601869
647,9.951272
648,8.061678
649,6.369883
650,5.040749
651,4.141878
652,3.355644
653,2.753528
654,2.30879
655,1.955174
656,1.721448
657,1.490968
658,1.307038
659,1.156836
660,1.023866
661,0.917337
662,0.84282
663,0.756144
664,0.678627
665,0.580271
666,0.4952
667,0.44837
668,0.423038
669,0.413925
670,0.384871
671,0.328064
672,0.238891
673,0.157027
674,0.084923
675,0.051066
676,0.044154
677,0.02957
678,0.018796
679,0.001181
680,0.000594
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0